Scheme Code;Scheme Name;Net Asset Value;Repurchase Price;Sale Price;Date

Open Ended Schemes ( Equity Scheme - Multi Cap Fund )


PPFAS Mutual Fund
122639;Parag Parikh Long Term Equity Fund - Direct Plan - Growth;16.2434;15.9185;16.2434;02-Sep-2015
122639;Parag Parikh Long Term Equity Fund - Direct Plan - Growth;16.3746;16.0471;16.3746;03-Sep-2015
122639;Parag Parikh Long Term Equity Fund - Direct Plan - Growth;16.1642;15.8409;16.1642;04-Sep-2015
122639;Parag Parikh Long Term Equity Fund - Direct Plan - Growth;15.9404;15.6216;15.9404;07-Sep-2015
122639;Parag Parikh Long Term Equity Fund - Direct Plan - Growth;16.0955;15.7736;16.0955;08-Sep-2015
122639;Parag Parikh Long Term Equity Fund - Direct Plan - Growth;16.3121;15.9859;16.3121;09-Sep-2015
122639;Parag Parikh Long Term Equity Fund - Direct Plan - Growth;16.3057;15.9796;16.3057;10-Sep-2015
122639;Parag Parikh Long Term Equity Fund - Direct Plan - Growth;16.3600;16.0328;16.3600;11-Sep-2015
122639;Parag Parikh Long Term Equity Fund - Direct Plan - Growth;16.4771;16.1476;16.4771;14-Sep-2015
122639;Parag Parikh Long Term Equity Fund - Direct Plan - Growth;16.2858;15.9601;16.2858;15-Sep-2015
122639;Parag Parikh Long Term Equity Fund - Direct Plan - Growth;16.3547;16.0276;16.3547;16-Sep-2015
122639;Parag Parikh Long Term Equity Fund - Direct Plan - Growth;16.5086;16.1784;16.5086;18-Sep-2015
122639;Parag Parikh Long Term Equity Fund - Direct Plan - Growth;16.4225;16.0941;16.4225;21-Sep-2015
122639;Parag Parikh Long Term Equity Fund - Direct Plan - Growth;16.3300;16.0034;16.3300;22-Sep-2015
122639;Parag Parikh Long Term Equity Fund - Direct Plan - Growth;16.2550;15.9299;16.2550;23-Sep-2015
122639;Parag Parikh Long Term Equity Fund - Direct Plan - Growth;16.2562;15.9311;16.2562;24-Sep-2015
122639;Parag Parikh Long Term Equity Fund - Direct Plan - Growth;16.2270;15.9025;16.2270;28-Sep-2015
122639;Parag Parikh Long Term Equity Fund - Direct Plan - Growth;16.0695;15.7481;16.0695;29-Sep-2015
122639;Parag Parikh Long Term Equity Fund - Direct Plan - Growth;16.1357;15.8130;16.1357;30-Sep-2015
122639;Parag Parikh Long Term Equity Fund - Direct Plan - Growth;16.1448;15.8219;16.1448;01-Oct-2015
122639;Parag Parikh Long Term Equity Fund - Direct Plan - Growth;16.3870;16.0593;16.3870;05-Oct-2015
122639;Parag Parikh Long Term Equity Fund - Direct Plan - Growth;16.4672;16.1379;16.4672;06-Oct-2015
122639;Parag Parikh Long Term Equity Fund - Direct Plan - Growth;16.4584;16.1292;16.4584;07-Oct-2015
122639;Parag Parikh Long Term Equity Fund - Direct Plan - Growth;16.4250;16.0965;16.4250;08-Oct-2015
122639;Parag Parikh Long Term Equity Fund - Direct Plan - Growth;16.5139;16.1836;16.5139;09-Oct-2015
122639;Parag Parikh Long Term Equity Fund - Direct Plan - Growth;16.5215;16.1911;16.5215;12-Oct-2015
122639;Parag Parikh Long Term Equity Fund - Direct Plan - Growth;16.6312;16.2986;16.6312;13-Oct-2015
122639;Parag Parikh Long Term Equity Fund - Direct Plan - Growth;16.7306;16.3960;16.7306;14-Oct-2015
122639;Parag Parikh Long Term Equity Fund - Direct Plan - Growth;16.8024;16.4664;16.8024;15-Oct-2015
122639;Parag Parikh Long Term Equity Fund - Direct Plan - Growth;16.8506;16.5136;16.8506;16-Oct-2015
122639;Parag Parikh Long Term Equity Fund - Direct Plan - Growth;16.8540;16.5169;16.8540;19-Oct-2015
122639;Parag Parikh Long Term Equity Fund - Direct Plan - Growth;16.9259;16.5874;16.9259;20-Oct-2015
122639;Parag Parikh Long Term Equity Fund - Direct Plan - Growth;16.8546;16.5175;16.8546;21-Oct-2015
122639;Parag Parikh Long Term Equity Fund - Direct Plan - Growth;16.9417;16.6029;16.9417;23-Oct-2015
122639;Parag Parikh Long Term Equity Fund - Direct Plan - Growth;17.2001;16.8561;17.2001;26-Oct-2015
122639;Parag Parikh Long Term Equity Fund - Direct Plan - Growth;17.2854;16.9397;17.2854;27-Oct-2015
122639;Parag Parikh Long Term Equity Fund - Direct Plan - Growth;17.1653;16.8220;17.1653;28-Oct-2015
122639;Parag Parikh Long Term Equity Fund - Direct Plan - Growth;17.2493;16.9043;17.2493;29-Oct-2015
122639;Parag Parikh Long Term Equity Fund - Direct Plan - Growth;17.2922;16.9464;17.2922;30-Oct-2015
122639;Parag Parikh Long Term Equity Fund - Direct Plan - Growth;17.3999;17.0519;17.3999;02-Nov-2015
122639;Parag Parikh Long Term Equity Fund - Direct Plan - Growth;17.4589;17.1097;17.4589;03-Nov-2015
122639;Parag Parikh Long Term Equity Fund - Direct Plan - Growth;17.3896;17.0418;17.3896;04-Nov-2015
122639;Parag Parikh Long Term Equity Fund - Direct Plan - Growth;17.3254;16.9789;17.3254;05-Nov-2015
122639;Parag Parikh Long Term Equity Fund - Direct Plan - Growth;17.1974;16.8535;17.1974;06-Nov-2015
122639;Parag Parikh Long Term Equity Fund - Direct Plan - Growth;17.1912;16.8474;17.1912;09-Nov-2015
122639;Parag Parikh Long Term Equity Fund - Direct Plan - Growth;17.0605;16.7193;17.0605;10-Nov-2015
