Scheme Code;Net Asset Value;Repurchase Price;Sale Price;Date
100471;Franklin India Bluechip Fund-Growth;122.49;122.49;125.25;12-Dec-2006
100471;Franklin India Bluechip Fund-Growth;125.09;125.09;127.90;13-Dec-2006
100471;Franklin India Bluechip Fund-Growth;127.95;127.95;130.83;14-Dec-2006
100471;Franklin India Bluechip Fund-Growth;129.14;129.14;132.05;15-Dec-2006
100471;Franklin India Bluechip Fund-Growth;129.74;129.74;132.66;18-Dec-2006
100471;Franklin India Bluechip Fund-Growth;126.64;126.64;129.49;19-Dec-2006
100471;Franklin India Bluechip Fund-Growth;126.10;126.10;128.94;20-Dec-2006
100471;Franklin India Bluechip Fund-Growth;126.36;126.36;129.20;21-Dec-2006
100471;Franklin India Bluechip Fund-Growth;127.53;127.53;130.40;22-Dec-2006
100471;Franklin India Bluechip Fund-Growth;129.76;129.76;132.68;26-Dec-2006
100471;Franklin India Bluechip Fund-Growth;130.70;130.70;133.64;27-Dec-2006
100471;Franklin India Bluechip Fund-Growth;131.10;131.10;134.05;28-Dec-2006
100471;Franklin India Bluechip Fund-Growth;131.67;131.67;134.63;29-Dec-2006
100471;Franklin India Bluechip Fund-Growth;132.85;132.85;135.84;02-Jan-2007
100471;Franklin India Bluechip Fund-Growth;133.52;133.52;136.52;03-Jan-2007
100471;Franklin India Bluechip Fund-Growth;132.49;132.49;135.47;04-Jan-2007
100471;Franklin India Bluechip Fund-Growth;131.30;131.30;134.25;05-Jan-2007
100471;Franklin India Bluechip Fund-Growth;129.22;129.22;132.13;08-Jan-2007
100471;Franklin India Bluechip Fund-Growth;128.29;128.29;131.18;09-Jan-2007
100471;Franklin India Bluechip Fund-Growth;126.64;126.64;129.49;10-Jan-2007
100471;Franklin India Bluechip Fund-Growth;129.05;129.05;131.95;11-Jan-2007
100471;Franklin India Bluechip Fund-Growth;132.07;132.07;135.04;12-Jan-2007
100471;Franklin India Bluechip Fund-Growth;132.86;132.86;135.85;15-Jan-2007
100471;Franklin India Bluechip Fund-Growth;133.19;133.19;136.19;16-Jan-2007
100471;Franklin India Bluechip Fund-Growth;133.69;133.69;136.70;17-Jan-2007
100471;Franklin India Bluechip Fund-Growth;134.19;134.19;137.21;18-Jan-2007
100471;Franklin India Bluechip Fund-Growth;134.33;134.33;137.35;19-Jan-2007
100471;Franklin India Bluechip Fund-Growth;135.43;135.43;138.48;22-Jan-2007
100471;Franklin India Bluechip Fund-Growth;133.71;133.71;136.72;23-Jan-2007
100471;Franklin India Bluechip Fund-Growth;134.38;134.38;137.40;24-Jan-2007
100471;Franklin India Bluechip Fund-Growth;136.17;136.17;139.23;25-Jan-2007
100471;Franklin India Bluechip Fund-Growth;135.58;135.58;138.63;29-Jan-2007
100471;Franklin India Bluechip Fund-Growth;134.23;134.23;137.25;31-Jan-2007
100471;Franklin India Bluechip Fund-Growth;135.42;135.42;138.47;01-Feb-2007
100471;Franklin India Bluechip Fund-Growth;137.18;137.18;140.27;02-Feb-2007
100471;Franklin India Bluechip Fund-Growth;138.34;138.34;141.45;05-Feb-2007
100471;Franklin India Bluechip Fund-Growth;138.25;138.25;141.36;06-Feb-2007
100471;Franklin India Bluechip Fund-Growth;139.63;139.63;142.77;07-Feb-2007
100471;Franklin India Bluechip Fund-Growth;138.10;138.10;141.21;09-Feb-2007
100471;Franklin India Bluechip Fund-Growth;133.78;133.78;136.79;12-Feb-2007
